company_id,company_name,year,quarter,report_type,revenue_q,revenue_q_prev,revenue_yoy,gross_profit_q,gross_profit_q_prev,gross_profit_yoy,operating_income_q,operating_income_q_prev,operating_income_yoy,net_income_q,net_income_q_prev,net_income_yoy,eps_q,eps_q_prev,eps_change_q,revenue_ytd,revenue_ytd_prev,revenue_ytd_yoy,gross_profit_ytd,gross_profit_ytd_prev,gross_profit_ytd_yoy,operating_income_ytd,operating_income_ytd_prev,operating_income_ytd_yoy,net_income_ytd,net_income_ytd_prev,net_income_ytd_yoy,eps_ytd,eps_ytd_prev,eps_change_ytd,total_assets_q,total_assets_q_prev,total_liabilities_q,total_liabilities_q_prev,debt_ratio_q,debt_ratio_q_prev,debt_ratio_yoy_change,gross_margin_q,gross_margin_q_prev,gross_margin_yoy_change,operating_margin_q,operating_margin_q_prev,operating_margin_yoy_change,net_margin_q,net_margin_q_prev,net_margin_yoy_change
1101,臺灣水泥股份有限公司,2025,3,合併,39066.9,41075.04,-4.89,8843.98,9968.92,-11.28,5140.08,6269.91,-18.02,-10200.12,3141.23,-424.72,-1.36,0.42,-1.78,109377.58,105588.49,3.59,20084.53,21311.95,-5.76,8555.98,11795.13,-27.46,-9239.4,7363.97,-225.47,-1.28,0.93,-2.21,581076.43,586487.54,300508.56,283103.82,51.72,48.27,3.45,22.64,24.27,-1.63,13.16,15.26,-2.1,-26.11,7.65,-33.76
1102,亞洲水泥股份有限公司,2025,3,合併,17888.57,19953.2,-10.35,2986.13,2808.55,6.32,2415.43,1928.71,25.24,3791.12,1896.25,99.93,1.13,0.57,0.56,53149.01,55437.72,-4.13,8731.24,7419.22,17.68,6608.11,4767.1,38.62,8085.15,9087.9,-11.03,2.42,2.72,-0.3,317375.2,328791.6,121052.19,128053.63,38.14,38.95,-0.81,16.69,14.08,2.61,13.5,9.67,3.83,21.19,9.5,11.69
1103,嘉新水泥股份有限公司,2025,3,合併,723.66,775.74,-6.71,112.7,127.36,-11.51,-38.03,-54.49,30.21,687.56,484.6,41.88,1.04,0.74,0.3,2244.68,2213.18,1.42,362.36,350.82,3.29,-37.63,-81.02,53.55,478.87,517.89,-7.53,0.73,0.79,-0.06,33271.28,36003.48,14452.04,13545.35,43.44,37.62,5.82,15.57,16.42,-0.85,-5.26,-7.02,1.76,95.01,62.47,32.54
1104,環球水泥股份有限公司,2025,3,合併,1885.54,1872.79,0.68,388.43,346.01,12.26,245.66,236.02,4.08,561.55,474.48,18.35,0.82,0.69,0.13,5783.02,5873.44,-1.54,1217.08,1163.24,4.63,812.43,782.57,3.82,1236.84,1105.59,11.87,1.8,1.61,0.19,29626.74,29074.62,5622.46,5013.1,18.98,17.24,1.74,20.6,18.48,2.12,13.03,12.6,0.43,29.78,25.34,4.44
1108,幸福水泥股份有限公司,2025,3,合併,1052.09,1144.7,-8.09,214.55,190.62,12.55,151.08,136.12,10.99,121.12,107.92,12.23,0.3,0.27,0.03,3425.38,3554.78,-3.64,710.38,668.19,6.31,1039.06,469.97,121.09,815.94,362.66,124.99,2.02,0.9,1.12,10231.72,10100.51,4542.45,5060.36,44.4,50.1,-5.7,20.39,16.65,3.74,14.36,11.89,2.47,11.51,9.43,2.08
1109,信大水泥股份有限公司,2025,3,合併,1060.57,1059.07,0.14,179.57,184.4,-2.62,117.12,103.18,13.51,104.65,61.98,68.84,0.31,0.18,0.13,3312.27,3532.18,-6.23,544.83,732.68,-25.64,332.18,468.68,-29.12,271.77,370.7,-26.69,0.8,1.08,-0.28,11001.35,11116.56,1041.55,1015.17,9.47,9.13,0.34,16.93,17.41,-0.48,11.04,9.74,1.3,9.87,5.85,4.02
1110,東南水泥股份有限公司,2025,3,合併,653.3,890.64,-26.65,110.89,190.99,-41.94,59.47,141.0,-57.82,121.48,199.86,-39.22,0.21,0.35,-0.14,2142.29,2072.16,3.38,320.07,386.1,-17.1,189.99,278.07,-31.68,163.94,287.75,-43.03,0.29,0.5,-0.21,12726.91,12552.86,3101.73,3066.63,24.37,24.43,-0.06,16.97,21.44,-4.47,9.1,15.83,-6.73,18.6,22.44,-3.84
1201,味全食品工業股份有限公司,2025,3,合併,5985.81,6506.1,-8.0,1588.1,1783.77,-10.97,109.58,217.54,-49.63,79.69,140.4,-43.24,0.16,0.28,-0.12,16717.79,17746.41,-5.8,4559.52,4902.6,-7.0,373.07,510.75,-26.96,215.86,375.11,-42.45,0.43,0.74,-0.31,17802.7,18009.06,10313.05,10358.16,57.93,57.52,0.41,26.53,27.42,-0.89,1.83,3.34,-1.51,1.33,2.16,-0.83
1203,味王股份有限公司,2025,3,合併,1382.94,1443.72,-4.21,460.49,450.25,2.27,218.1,192.4,13.36,150.17,102.58,46.39,0.64,0.44,0.2,4337.94,4524.64,-4.13,1521.93,1495.07,1.8,746.28,731.38,2.04,303.1,374.63,-19.09,1.28,1.58,-0.3,10407.31,10332.52,3353.75,3415.61,32.22,33.06,-0.84,33.3,31.19,2.11,15.77,13.33,2.44,10.86,7.11,3.75
1210,大成長城企業股份有限公司,2025,3,合併,24677.21,25858.17,-4.57,3664.07,3705.4,-1.12,1080.66,1116.19,-3.18,780.85,841.8,-7.24,0.93,1.0,-0.07,75015.43,76102.72,-1.43,10818.71,10872.24,-0.49,3422.91,3805.91,-10.06,2235.77,2473.75,-9.62,2.67,2.94,-0.27,70504.97,67765.93,37275.97,34749.92,52.87,51.28,1.59,14.85,14.33,0.52,4.38,4.32,0.06,3.16,3.26,-0.1
1213,大西洋飲料股份有限公司,2025,3,合併,91.59,63.68,43.83,-0.38,-2.43,84.36,-10.61,-14.28,25.7,-11.12,-17.95,38.05,-0.2,-0.32,0.12,226.78,138.93,63.23,-4.81,-29.45,83.67,-34.2,-59.07,42.1,-36.85,-42.56,13.42,-0.65,-0.75,0.1,790.01,955.54,126.25,770.89,15.98,80.68,-64.7,-0.42,-3.82,3.4,-11.59,-22.42,10.83,-12.14,-28.19,16.05
1215,台灣卜蜂企業股份有限公司,2025,3,合併,7094.16,7013.97,1.14,1576.02,1038.06,51.82,1008.01,431.44,133.64,879.97,513.33,71.42,2.99,1.74,1.25,20852.15,20631.06,1.07,4504.53,3189.41,41.23,2840.76,1451.47,95.72,2340.21,1259.01,85.88,7.94,4.27,3.67,30846.68,29827.4,18784.17,19160.1,60.9,64.24,-3.34,22.22,14.8,7.42,14.21,6.15,8.06,12.4,7.32,5.08
